player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,adj_market_fvm,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Colpani,C,T,MON,9,1.5,6.0,0.5,0.0,0.0,0.0,15,3.0,5.988,6.037,0.165,-0.145,0.754,0.163,0.058,0.035,0.0,3.0,3.752,3.17,0.186,0.167,0.186,2.189,0.9337,1.178,85,3,1,0.631,2,0,154,True,1.0,0.4704,0.5196,183.0,202.1,202.9,19.9,19.4,15.0,8,5,-7
Pongracic,D,Dc,FIO,4,0.8,6.0,0.5,0.0,0.0,0.0,8,4.0,5.86,5.907,0.066,-0.057,0.638,0.0,0.0,0.239,0.0,4.0,0.544,0.427,0.022,0.018,0.022,0.271,1.0124,2.045,59,3,0,0.229,1,1,61,True,0.5,0.4698,0.4865,175.2,184.3,184.4,9.2,9.1,8.0,5,3,-3
Pellegrini Lu.,D,Ds;E,LAZ,2,0.7,6.0,0.5,0.0,0.0,0.0,7,8.0,5.917,5.94,0.18,0.0055,0.431,0.016,0.094,0.312,0.0,4.0,5.068,3.937,0.278,0.186,0.215,2.2,0.9953,1.856,99,13,0,0.385,0,0,0,False,0.0,0.4696,0.4984,88.5,88.5,95.2,6.7,0.0,7.0,4,3,-3
Bellanova,D,Dd;E,ATA,6,1.7,6.0,0.5,0.0,0.0,0.0,17,7.0,5.947,5.117,2.092,0.4236,0.596,0.015,0.133,0.096,0.0,4.0,1.215,3.886,0.062,0.188,0.062,0.822,1.0354,2.298,71,3,0,0.276,0,2,12,False,0.0,0.4695,0.4898,132.8,132.8,134.2,1.4,0.0,17.0,9,5,-8
Fagioli,C,M;C,FIO,7,2.0,6.0,0.5,0.0,0.0,0.0,20,7.0,5.998,4.306,2.724,0.8568,0.468,0.075,0.1,0.15,0.0,4.0,1.295,2.637,0.073,0.157,0.073,1.1,1.0124,2.045,33,4,0,0.128,1,1,90,True,0.5,0.469,0.4782,181.2,200.4,200.4,19.2,17.7,20.0,11,6,-9
Skorupski,P,Por,BOL,10,3.2,6.0,0.5,0.0,0.0,0.0,32,11.0,6.18,6.2,0.127,-0.0124,0.766,0.0,0.0,0.063,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,1.004,1.952,131,7,0,0.509,2,0,180,True,1.0,0.4688,0.5075,174.1,197.8,197.8,23.7,31.2,32.0,36,18,4
Ngonge,A,A,MON,5,1.3,6.0,0.5,0.0,0.0,0.0,13,4.0,5.85,5.938,0.158,-0.105,0.421,0.19,0.069,0.172,0.0,4.0,2.51,0.982,0.268,0.096,0.268,3.012,0.9337,1.178,28,5,0,0.109,0,0,0,False,0.0,0.4686,0.4764,101.3,102.8,102.8,1.5,0.0,13.0,12,6,-1
Franjic,D,B;Ds;E,VEN,3,0.7,6.0,0.5,0.0,0.0,0.0,7,,,,,,,,,,,,,,,,,,0.9494,1.351,110,6,0,0.428,2,0,134,True,1.0,0.4686,0.5007,172.0,189.9,190.6,18.6,14.7,7.0,4,3,-3
Adopo,C,M;C,CAG,7,1.3,6.0,0.5,0.0,0.0,0.0,13,4.0,5.83,5.832,0.051,-0.003,0.526,0.028,0.028,0.097,0.0,4.0,1.684,1.262,0.062,0.078,0.062,0.789,0.9604,1.472,38,4,0,0.148,2,0,180,True,1.0,0.4681,0.4787,181.9,194.2,194.5,12.6,11.5,13.0,7,4,-6
De Silvestri,D,Dd;E,BOL,1,0.4,6.0,0.5,0.0,0.0,0.0,4,11.0,6.023,5.946,0.13,0.0057,0.562,0.08,0.053,0.111,0.0,4.0,0.396,0.181,0.07,0.023,0.07,0.56,1.004,1.952,64,8,0,0.249,0,2,0,False,0.0,0.4678,0.4859,129.8,132.2,132.2,2.4,0.0,4.0,3,2,-1
